,player_id,FirstLastTeam,Playing.for,DvP_position,Position,uf_position,games_played,dt_avg,disp_avg,risk,team_disp,usage,Season,highest_avg,talent,form
184,EastonWood11788,EWoodWBD,Western Bulldogs,KeyD,DEF,DEF,15,47,12,68,387.6,3.095975232,2019,47,53.59090909,47.91666667
190,EdVickers-Willis12524,EVickers-WillisNME,North Melbourne,NA,NA,DEF,1,-1,1,5,367.9,0.271812993,2019,-1,25.75,73
195,EthanHughes12395,EHughesFRE,Fremantle,KeyD,DEF,DEF,14,59,17,64,363.1,4.681905811,2019,59.28571429,62.90909091,62.18181818
196,FlynnAppleby12620,FApplebyCOL,Collingwood,GenD,DEF,DEF,1,25,7,5,399.2,1.753507014,2019,25,33.8,25
197,FrancisWatson12746,FWatsonWCE,West Coast,GenD,DEF,DEF,2,64,14,9,356.1,3.931479921,2019,64,64,64
201,GeorgeHorlin-Smith12053,GHorlin-SmithGCS,Gold Coast,NA,NA,DEF,4,44,10,18,339.9,2.942041777,2019,44.25,56.66666667,33
203,GriffinLogue12511,GLogueFRE,Fremantle,GenD,DEF,DEF,10,50,12,45,363.1,3.30487469,2019,50.1,50.05,50.1
205,HamishHartlett11740,HHartlettPOR,Port Adelaide,GenD,DEF,DEF,11,76,19,50,375.5,5.059920107,2019,76.36363636,80.25,76.36363636
206,HarrisAndrews12340,HAndrewsBRI,Brisbane Lions,KeyD,DEF,DEF,14,57,13,64,373.5,3.480589023,2019,57.07142857,61.18181818,52.54545455
208,HarryCunningham12015,HCunninghamSYD,Sydney,GenD,FWD,DEF,4,70,18,18,371.7,4.842615012,2019,70.25,73.4,66.33333333
213,HarryPetty12653,HPettyMEL,Melbourne,KeyD,DEF,DEF,9,50,9,41,386.2,2.330398757,2019,50.22222222,50.11111111,53.875
214,HarryTaylor11643,HTaylorGEE,Geelong,KeyD,FWD,DEF,14,52,13,64,380.1,3.420152591,2019,51.78571429,58.2,51.27272727
216,HaydenCrozier12088,HCrozierWBD,Western Bulldogs,GenD,FWD,DEF,14,69,16,64,387.6,4.127966976,2019,68.57142857,74.03846154,72.5
219,HeathShaw4132,HShawGWS,Greater Western Sydney,GenD,DEF,DEF,15,80,20,68,377.9,5.292405398,2019,79.93333333,84.23076923,78.25
221,HughGoddard12382,HGoddardCAR,Carlton,KeyD,DEF,DEF,2,25,6,9,347,1.729106628,2019,25,25,25
