player_id,Playing.for,uf_position,dt_avg,disp_avg,risk,usage,talent,form,model_raw,projected,adp
MitchHannan12492,Melbourne,FWD,43,10,27,2.589331952,50.10714286,44.2,19.653462331045475,35.27328633429433,-16.7267136657057
MitchLewis12636,Hawthorn,FWD,71,13,32,3.452855246,71,73.16666667,32.844233406901566,58.94758032339059,6.94758032339059
MitchMcGovern12404,Carlton,FWD,47,9,45,2.593659942,58.27272727,48.5,24.322526014426074,43.65314416508389,-8.34685583491611
MitchWallis11934,Western Bulldogs,FWD,82,23,14,5.933952528,82.16666667,99,43.46582967888526,78.01081713724841,26.0108171372484
NickBlakey12699,Sydney,FWD,51,11,68,2.959375841,51.06666667,54.33333333,25.551838278577385,45.85946703874735,-6.14053296125265
NickHind12734,St Kilda,FWD,48,11,50,2.829945974,48.13636364,48.27272727,21.976230259456322,39.44210182577792,-12.5578981742221
NickHolman12307,Gold Coast,FWD,64,13,23,3.82465431,64.76666667,53.66666667,27.551909233046967,49.44911828073072,-2.55088171926928
NickLarkey12563,North Melbourne,FWD,52,8,59,2.174503941,52.07692308,51.72727273,23.361805673243214,41.92887985425081,-10.0711201457492
NoahBalta12686,Richmond,FWD,44,9,27,2.453653217,43.83333333,33.33333333,15.656096152707475,28.09896562598789,-23.9010343740121
OliverHanrahan12738,Hawthorn,FWD,52,13,41,3.452855246,58,51.66666667,25.9292929402493,46.53690830253608,-5.46309169746392
OrazioFantasia12302,Essendon,FWD,44,10,45,2.620545073,62.05555556,44.44444444,24.842051681653214,44.58556906352891,-7.41443093647109
OscarAllen12655,West Coast,FWD,60,11,64,3.089019938,59.92857143,58.81818182,28.934402122621258,51.93036391204366,-0.06963608795634
OscarMcInerney12617,Brisbane Lions,FWD,59,9,55,2.409638554,59.16666667,63.8,27.666608665266406,49.65497645711252,-2.34502354288748
PaddyDow12582,Carlton,FWD,51,13,55,3.746397695,53.61538462,46.66666667,25.351319821772243,45.499584142641766,-6.50041585735823
PatrickLipinski12578,Western Bulldogs,FWD,85,22,59,5.675954592,85.23076923,86.54545455,45.425844445736416,81.52857705792027,29.5285770579203
PaulPuopolo11942,Hawthorn,FWD,54,12,68,3.187250996,60.25,53.91666667,28.688521238884697,51.489066258221676,-0.510933741778324
PeterLadhams12729,Port Adelaide,FWD,66,15,23,3.994673768,65.8,69.25,30.799453493047206,55.27768714237765,3.27768714237765
PeterWright12366,Gold Coast,FWD,66,12,45,3.530450132,66.96875,64.71428571,31.340700311375002,56.24909633628056,4.24909633628056
RhyleeWest12748,Western Bulldogs,FWD,54,14,9,3.611971104,53.75,53.5,22.668961900567826,40.68539021528236,-11.3146097847176
RhysMathieson12443,Brisbane Lions,FWD,65,16,23,4.283801874,68.46153846,64.66666667,31.334777344102566,56.23846602000192,4.23846602000192
RileyKnight12375,Adelaide,FWD,73,17,41,4.438642298,73.33333333,72.71428571,35.88599978982676,64.40682688156403,12.406826881564
RoarkeSmith12390,Western Bulldogs,FWD,52,12,23,3.095975232,52,52,22.10546056163285,39.674039454627135,-12.3259605453729
RobbieFox12510,Sydney,FWD,52,12,36,3.228410008,52,53,23.53339919651424,42.236849380306694,-9.76315061969331
RobbieGray11578,Port Adelaide,FWD,86,23,68,6.125166445,86.23333333,83,46.616528694641964,83.66557183970158,31.6655718397016
SamDay11947,Gold Coast,FWD,64,12,45,3.530450132,63.9,63.8,30.24451163623701,54.28169861453286,2.28169861453286
SamLloyd12263,Western Bulldogs,FWD,79,16,68,4.127966976,79.03333333,76.91666667,39.95699568843901,71.71329541004589,19.7132954100459
SamPowell-Pepper12494,Port Adelaide,FWD,74,18,55,4.793608522,75,76.22222222,38.71045397452983,69.47604977557546,17.4760497755755
SamReid11880,Sydney,FWD,71,12,68,3.228410008,71.16666667,66.58333333,34.25306248524796,61.476093144161794,9.47609314416179
SamSwitkowski12672,Fremantle,FWD,60,12,55,3.30487469,61.75,60.9,29.501132218151334,52.94750952217448,0.947509522174478
SamWeideman12475,Melbourne,FWD,54,10,32,2.589331952,58.33333333,49.6,23.48826736539737,42.15584848718357,-9.84415151281643
SeanLemmens12234,Gold Coast,FWD,53,11,32,3.236245955,53.07142857,53.14285714,23.582214542330377,42.32446130544623,-9.67553869455377
ShaiBolton12535,Richmond,FWD,65,15,50,4.089422028,74,68.11111111,35.42702736406366,63.58308063671464,11.5830806367146
ShaunMcKernan11774,Essendon,FWD,67,13,64,3.406708595,67.25,73.45454545,34.203332530545175,61.38683971379538,9.38683971379538
StephenHill11716,Fremantle,FWD,38,12,14,3.30487469,57.10714286,37.66666667,20.887900556676655,37.488809088567756,-14.5111909114322
StevenMotlop11818,Port Adelaide,FWD,71,18,45,4.793608522,71.03571429,71.28571429,35.86465883016135,64.368524939227,12.368524939227
TarrynThomas12707,North Melbourne,FWD,54,11,64,2.989942919,54.5,55.16666667,26.48104310947208,47.5271685109497,-4.4728314890503
TaylorGarner12220,North Melbourne,FWD,61,14,27,3.805381897,64.53846154,60.83333333,28.980192204847164,52.01254620920938,0.0125462092093827
TaylorWalker11713,Adelaide,FWD,63,12,68,3.133159269,70.42307692,66.41666667,33.83360313018035,60.72326345503743,8.72326345503743
TimMembrey12300,St Kilda,FWD,71,13,68,3.344481605,71.8,70.66666667,35.33773400738517,63.4228203179567,11.4228203179567
TobyGreene12025,Greater Western Sydney,FWD,101,24,55,6.350886478,101.2083333,113.6666667,55.759003029619535,100.07413688486359,48.0741368848636
TobyMcLean12363,Western Bulldogs,FWD,64,16,50,4.127966976,76.84615385,63.125,35.52158934794919,63.75279688710093,11.7527968871009
ToddMarshall12575,Port Adelaide,FWD,56,10,27,2.663115846,59.5,57.6,24.930659960653088,44.744599830937986,-7.25540016906201
TomAtkins12690,Geelong,FWD,56,12,64,3.157063931,55.75,53.63636364,26.89151605659548,48.26386973704838,-3.73613026295162
TomCampbell12097,North Melbourne,FWD,40,8,5,2.174503941,64.625,40,20.938924126075737,37.5803842493662,-14.4196157506338
TomHawkins11548,Geelong,FWD,68,13,68,3.420152591,79.1,64.16666667,36.60568187715296,65.69848490641085,13.6984849064109
TomLynch11865,Adelaide,FWD,84,19,41,4.960835509,88.19230769,80.14285714,42.596517666851874,76.45060901728485,24.4506090172848
TomMcCartin12627,Sydney,FWD,48,10,55,2.690341673,50.5,48.1,22.82974241933288,40.97395297230953,-11.0260470276905
TomMcDonald12009,Melbourne,FWD,69,15,36,3.883997929,79.88461538,86,38.799059008721756,69.63507471932671,17.6350747193267
TomPapley12412,Sydney,FWD,76,15,68,4.03551251,79.20833333,76.83333333,39.838215823462164,71.50011382822055,19.5001138282205
TomSparrow12693,Melbourne,FWD,52,11,9,2.848265148,52,40,18.537634094321966,33.27064027474146,-18.7293597252585
ToryDickson12043,Western Bulldogs,FWD,60,12,55,3.095975232,59.95833333,60.27272727,28.487517283893528,51.12831200844609,-0.871687991553912
TravisColyer11821,Fremantle,FWD,62,16,18,4.406499587,63.07142857,59.33333333,28.591371186104134,51.31470504026429,-0.685294959735707
TravisVarcoe11549,Collingwood,FWD,52,12,55,3.006012024,51.79166667,52.5,24.511843379726955,43.99292376838378,-8.00707623161622
TysonStengle12552,Adelaide,FWD,58,8,18,2.088772846,58,58,22.840324574898613,40.99294542244461,-11.0070545775554
WillHayward12509,Sydney,FWD,57,12,41,3.228410008,58.36666667,57.83333333,26.701820739576497,47.923411800386724,-4.07658819961328
WillHoskin-Elliott12026,Collingwood,FWD,79,16,59,4.008016032,83.93333333,80.18181818,41.09336275024737,73.7528037713136,21.7528037713136
WillieRioli12606,West Coast,FWD,64,14,55,3.931479921,64.16666667,65.5,32.09473693221946,57.6024125706204,5.6024125706204
WillSnelling12484,Essendon,FWD,72,18,14,4.716981132,72,71.66666667,33.63341763741588,60.363978150122044,8.36397815012204
